record_id,transport_id,record_time,temperature,is_normal
TT00001,TR0001,2025-07-23 00:00:00,5.1,true
TT00002,TR0001,2025-07-23 04:00:00,3.6,true
TT00003,TR0001,2025-07-23 08:00:00,3.0,true
TT00004,TR0001,2025-07-23 12:00:00,5.5,true
TT00005,TR0002,2025-11-23 00:00:00,3.8,true
TT00006,TR0002,2025-11-23 04:00:00,5.2,true
TT00007,TR0002,2025-11-23 08:00:00,5.2,true
TT00008,TR0002,2025-11-23 12:00:00,2.9,true
TT00009,TR0002,2025-11-23 16:00:00,6.5,true
TT00010,TR0002,2025-11-23 20:00:00,4.1,true
TT00011,TR0002,2025-11-23 24:00:00,6.1,true
TT00012,TR0002,2025-11-23 28:00:00,5.3,true
TT00013,TR0003,2025-11-24 00:00:00,10.1,false
TT00014,TR0003,2025-11-24 04:00:00,2.7,true
TT00015,TR0003,2025-11-24 08:00:00,4.2,true
TT00016,TR0003,2025-11-24 12:00:00,5.3,true
TT00017,TR0003,2025-11-24 16:00:00,4.6,true
TT00018,TR0004,2025-11-03 00:00:00,4.5,true
TT00019,TR0004,2025-11-03 04:00:00,6.0,true
TT00020,TR0004,2025-11-03 08:00:00,5.2,true
TT00021,TR0004,2025-11-03 12:00:00,4.2,true
TT00022,TR0004,2025-11-03 16:00:00,2.5,true
TT00023,TR0004,2025-11-03 20:00:00,6.3,true
TT00024,TR0004,2025-11-03 24:00:00,6.4,true
TT00025,TR0005,2025-07-11 00:00:00,2.6,true
TT00026,TR0005,2025-07-11 04:00:00,3.9,true
TT00027,TR0005,2025-07-11 08:00:00,2.1,true
TT00028,TR0005,2025-07-11 12:00:00,2.7,true
TT00029,TR0005,2025-07-11 16:00:00,2.9,true
TT00030,TR0005,2025-07-11 20:00:00,4.5,true
TT00031,TR0005,2025-07-11 24:00:00,2.2,true
TT00032,TR0006,2025-11-16 00:00:00,3.2,true
TT00033,TR0006,2025-11-16 04:00:00,5.1,true
TT00034,TR0006,2025-11-16 08:00:00,5.9,true
TT00035,TR0006,2025-11-16 12:00:00,3.1,true
TT00036,TR0006,2025-11-16 16:00:00,2.7,true
TT00037,TR0006,2025-11-16 20:00:00,2.5,true
TT00038,TR0006,2025-11-16 24:00:00,3.6,true
TT00039,TR0007,2025-07-13 00:00:00,7.0,true
TT00040,TR0007,2025-07-13 04:00:00,2.6,true
TT00041,TR0007,2025-07-13 08:00:00,3.9,true
TT00042,TR0007,2025-07-13 12:00:00,5.5,true
TT00043,TR0007,2025-07-13 16:00:00,5.0,true
TT00044,TR0008,2025-08-17 00:00:00,2.5,true
TT00045,TR0008,2025-08-17 04:00:00,6.2,true
TT00046,TR0008,2025-08-17 08:00:00,5.3,true
TT00047,TR0008,2025-08-17 12:00:00,3.7,true
TT00048,TR0009,2025-07-24 00:00:00,4.3,true
TT00049,TR0009,2025-07-24 04:00:00,2.8,true
TT00050,TR0009,2025-07-24 08:00:00,2.3,true
TT00051,TR0009,2025-07-24 12:00:00,3.2,true
TT00052,TR0009,2025-07-24 16:00:00,3.5,true
TT00053,TR0009,2025-07-24 20:00:00,5.7,true
TT00054,TR0009,2025-07-24 24:00:00,5.3,true
TT00055,TR0009,2025-07-24 28:00:00,5.4,true
TT00056,TR0010,2025-07-12 00:00:00,4.8,true
TT00057,TR0010,2025-07-12 04:00:00,3.4,true
TT00058,TR0010,2025-07-12 08:00:00,3.6,true
TT00059,TR0010,2025-07-12 12:00:00,3.6,true
TT00060,TR0011,2025-11-21 00:00:00,6.4,true
TT00061,TR0011,2025-11-21 04:00:00,5.0,true
TT00062,TR0011,2025-11-21 08:00:00,3.6,true
TT00063,TR0011,2025-11-21 12:00:00,6.4,true
TT00064,TR0011,2025-11-21 16:00:00,5.7,true
TT00065,TR0011,2025-11-21 20:00:00,5.9,true
TT00066,TR0011,2025-11-21 24:00:00,5.8,true
TT00067,TR0012,2025-08-13 00:00:00,2.3,true
TT00068,TR0012,2025-08-13 04:00:00,4.6,true
TT00069,TR0012,2025-08-13 08:00:00,2.7,true
TT00070,TR0012,2025-08-13 12:00:00,4.0,true
TT00071,TR0012,2025-08-13 16:00:00,2.7,true
TT00072,TR0012,2025-08-13 20:00:00,2.3,true
TT00073,TR0012,2025-08-13 24:00:00,6.0,true
TT00074,TR0012,2025-08-13 28:00:00,3.4,true
TT00075,TR0013,2025-10-10 00:00:00,2.6,true
TT00076,TR0013,2025-10-10 04:00:00,3.7,true
TT00077,TR0013,2025-10-10 08:00:00,3.6,true
TT00078,TR0013,2025-10-10 12:00:00,2.3,true
TT00079,TR0013,2025-10-10 16:00:00,3.3,true
TT00080,TR0013,2025-10-10 20:00:00,5.1,true
TT00081,TR0013,2025-10-10 24:00:00,4.9,true
TT00082,TR0014,2025-09-18 00:00:00,2.2,true
TT00083,TR0014,2025-09-18 04:00:00,6.1,true
TT00084,TR0014,2025-09-18 08:00:00,4.0,true
TT00085,TR0014,2025-09-18 12:00:00,6.6,true
TT00086,TR0014,2025-09-18 16:00:00,6.6,true
TT00087,TR0015,2025-09-07 00:00:00,2.2,true
TT00088,TR0015,2025-09-07 04:00:00,5.1,true
TT00089,TR0015,2025-09-07 08:00:00,3.5,true
TT00090,TR0015,2025-09-07 12:00:00,3.1,true
TT00091,TR0015,2025-09-07 16:00:00,2.2,true
TT00092,TR0016,2025-07-10 00:00:00,2.5,true
TT00093,TR0016,2025-07-10 04:00:00,3.6,true
TT00094,TR0016,2025-07-10 08:00:00,5.2,true
TT00095,TR0016,2025-07-10 12:00:00,6.9,true
TT00096,TR0016,2025-07-10 16:00:00,4.4,true
TT00097,TR0016,2025-07-10 20:00:00,4.1,true
TT00098,TR0016,2025-07-10 24:00:00,2.1,true
TT00099,TR0016,2025-07-10 28:00:00,3.4,true
TT00100,TR0017,2025-08-02 00:00:00,4.2,true
TT00101,TR0017,2025-08-02 04:00:00,6.4,true
TT00102,TR0017,2025-08-02 08:00:00,5.1,true
TT00103,TR0017,2025-08-02 12:00:00,3.5,true
TT00104,TR0017,2025-08-02 16:00:00,5.1,true
TT00105,TR0017,2025-08-02 20:00:00,3.3,true
TT00106,TR0017,2025-08-02 24:00:00,2.9,true
TT00107,TR0018,2025-08-19 00:00:00,3.9,true
TT00108,TR0018,2025-08-19 04:00:00,5.0,true
TT00109,TR0018,2025-08-19 08:00:00,3.5,true
TT00110,TR0018,2025-08-19 12:00:00,4.5,true
TT00111,TR0018,2025-08-19 16:00:00,6.5,true
TT00112,TR0018,2025-08-19 20:00:00,4.4,true
TT00113,TR0018,2025-08-19 24:00:00,3.7,true
TT00114,TR0018,2025-08-19 28:00:00,2.8,true
TT00115,TR0019,2025-08-17 00:00:00,4.7,true
TT00116,TR0019,2025-08-17 04:00:00,2.3,true
TT00117,TR0019,2025-08-17 08:00:00,3.8,true
TT00118,TR0019,2025-08-17 12:00:00,3.6,true
TT00119,TR0019,2025-08-17 16:00:00,3.3,true
TT00120,TR0019,2025-08-17 20:00:00,3.1,true
TT00121,TR0019,2025-08-17 24:00:00,4.0,true
TT00122,TR0020,2025-10-17 00:00:00,2.3,true
TT00123,TR0020,2025-10-17 04:00:00,5.5,true
TT00124,TR0020,2025-10-17 08:00:00,3.3,true
TT00125,TR0020,2025-10-17 12:00:00,5.9,true
TT00126,TR0020,2025-10-17 16:00:00,6.6,true
TT00127,TR0020,2025-10-17 20:00:00,3.6,true
TT00128,TR0020,2025-10-17 24:00:00,6.9,true
TT00129,TR0021,2025-10-07 00:00:00,3.5,true
TT00130,TR0021,2025-10-07 04:00:00,3.3,true
TT00131,TR0021,2025-10-07 08:00:00,6.8,true
TT00132,TR0021,2025-10-07 12:00:00,4.6,true
TT00133,TR0022,2025-09-07 00:00:00,4.5,true
TT00134,TR0022,2025-09-07 04:00:00,3.8,true
TT00135,TR0022,2025-09-07 08:00:00,2.8,true
TT00136,TR0022,2025-09-07 12:00:00,6.9,true
TT00137,TR0022,2025-09-07 16:00:00,4.7,true
TT00138,TR0023,2025-08-11 00:00:00,4.8,true
TT00139,TR0023,2025-08-11 04:00:00,6.0,true
TT00140,TR0023,2025-08-11 08:00:00,2.3,true
TT00141,TR0023,2025-08-11 12:00:00,3.5,true
TT00142,TR0024,2025-11-15 00:00:00,4.6,true
TT00143,TR0024,2025-11-15 04:00:00,3.0,true
TT00144,TR0024,2025-11-15 08:00:00,3.4,true
TT00145,TR0024,2025-11-15 12:00:00,5.4,true
TT00146,TR0024,2025-11-15 16:00:00,3.8,true
TT00147,TR0025,2025-11-21 00:00:00,6.4,true
TT00148,TR0025,2025-11-21 04:00:00,2.4,true
TT00149,TR0025,2025-11-21 08:00:00,3.9,true
TT00150,TR0025,2025-11-21 12:00:00,4.7,true
TT00151,TR0025,2025-11-21 16:00:00,5.5,true
TT00152,TR0025,2025-11-21 20:00:00,4.2,true
TT00153,TR0025,2025-11-21 24:00:00,4.8,true
TT00154,TR0026,2025-10-04 00:00:00,6.5,true
TT00155,TR0026,2025-10-04 04:00:00,4.3,true
TT00156,TR0026,2025-10-04 08:00:00,5.5,true
TT00157,TR0026,2025-10-04 12:00:00,5.3,true
TT00158,TR0026,2025-10-04 16:00:00,5.5,true
TT00159,TR0027,2025-10-05 00:00:00,2.6,true
TT00160,TR0027,2025-10-05 04:00:00,2.2,true
TT00161,TR0027,2025-10-05 08:00:00,6.6,true
TT00162,TR0027,2025-10-05 12:00:00,4.8,true
TT00163,TR0027,2025-10-05 16:00:00,5.2,true
TT00164,TR0028,2025-08-19 00:00:00,6.3,true
TT00165,TR0028,2025-08-19 04:00:00,5.5,true
TT00166,TR0028,2025-08-19 08:00:00,3.0,true
TT00167,TR0028,2025-08-19 12:00:00,3.2,true
TT00168,TR0028,2025-08-19 16:00:00,6.9,true
TT00169,TR0029,2025-10-05 00:00:00,5.4,true
TT00170,TR0029,2025-10-05 04:00:00,2.9,true
TT00171,TR0029,2025-10-05 08:00:00,3.1,true
TT00172,TR0029,2025-10-05 12:00:00,5.3,true
TT00173,TR0029,2025-10-05 16:00:00,2.1,true
TT00174,TR0029,2025-10-05 20:00:00,3.9,true
TT00175,TR0029,2025-10-05 24:00:00,5.4,true
TT00176,TR0030,2025-09-04 00:00:00,3.9,true
TT00177,TR0030,2025-09-04 04:00:00,2.7,true
TT00178,TR0030,2025-09-04 08:00:00,6.4,true
TT00179,TR0030,2025-09-04 12:00:00,3.7,true
TT00180,TR0030,2025-09-04 16:00:00,2.8,true
TT00181,TR0030,2025-09-04 20:00:00,4.4,true
TT00182,TR0030,2025-09-04 24:00:00,2.6,true
TT00183,TR0031,2025-09-22 00:00:00,3.4,true
TT00184,TR0031,2025-09-22 04:00:00,4.4,true
TT00185,TR0031,2025-09-22 08:00:00,5.8,true
TT00186,TR0031,2025-09-22 12:00:00,6.2,true
TT00187,TR0031,2025-09-22 16:00:00,6.0,true
TT00188,TR0031,2025-09-22 20:00:00,6.1,true
TT00189,TR0032,2025-11-11 00:00:00,5.6,true
TT00190,TR0032,2025-11-11 04:00:00,6.7,true
TT00191,TR0032,2025-11-11 08:00:00,5.9,true
TT00192,TR0032,2025-11-11 12:00:00,3.6,true
TT00193,TR0032,2025-11-11 16:00:00,5.6,true
TT00194,TR0033,2025-11-05 00:00:00,4.6,true
TT00195,TR0033,2025-11-05 04:00:00,6.2,true
TT00196,TR0033,2025-11-05 08:00:00,2.2,true
TT00197,TR0033,2025-11-05 12:00:00,3.6,true
TT00198,TR0033,2025-11-05 16:00:00,3.7,true
TT00199,TR0033,2025-11-05 20:00:00,6.0,true
TT00200,TR0033,2025-11-05 24:00:00,4.9,true
TT00201,TR0033,2025-11-05 28:00:00,6.2,true
TT00202,TR0034,2025-11-05 00:00:00,3.5,true
TT00203,TR0034,2025-11-05 04:00:00,2.6,true
TT00204,TR0034,2025-11-05 08:00:00,6.8,true
TT00205,TR0034,2025-11-05 12:00:00,3.4,true
TT00206,TR0034,2025-11-05 16:00:00,5.6,true
TT00207,TR0034,2025-11-05 20:00:00,4.5,true
TT00208,TR0035,2025-08-18 00:00:00,2.7,true
TT00209,TR0035,2025-08-18 04:00:00,6.7,true
TT00210,TR0035,2025-08-18 08:00:00,6.1,true
TT00211,TR0035,2025-08-18 12:00:00,2.5,true
TT00212,TR0035,2025-08-18 16:00:00,2.6,true
TT00213,TR0035,2025-08-18 20:00:00,6.6,true
TT00214,TR0035,2025-08-18 24:00:00,2.3,true
TT00215,TR0035,2025-08-18 28:00:00,3.1,true
TT00216,TR0036,2025-07-06 00:00:00,6.5,true
TT00217,TR0036,2025-07-06 04:00:00,2.6,true
TT00218,TR0036,2025-07-06 08:00:00,4.4,true
TT00219,TR0036,2025-07-06 12:00:00,5.0,true
TT00220,TR0036,2025-07-06 16:00:00,6.7,true
TT00221,TR0036,2025-07-06 20:00:00,6.8,true
TT00222,TR0037,2025-11-25 00:00:00,5.5,true
TT00223,TR0037,2025-11-25 04:00:00,5.3,true
TT00224,TR0037,2025-11-25 08:00:00,3.9,true
TT00225,TR0037,2025-11-25 12:00:00,4.1,true
TT00226,TR0038,2025-11-03 00:00:00,4.9,true
TT00227,TR0038,2025-11-03 04:00:00,2.2,true
TT00228,TR0038,2025-11-03 08:00:00,6.7,true
TT00229,TR0038,2025-11-03 12:00:00,4.9,true
TT00230,TR0038,2025-11-03 16:00:00,3.0,true
TT00231,TR0038,2025-11-03 20:00:00,6.7,true
TT00232,TR0038,2025-11-03 24:00:00,5.8,true
TT00233,TR0039,2025-08-04 00:00:00,6.8,true
TT00234,TR0039,2025-08-04 04:00:00,5.7,true
TT00235,TR0039,2025-08-04 08:00:00,5.6,true
TT00236,TR0039,2025-08-04 12:00:00,4.7,true
TT00237,TR0039,2025-08-04 16:00:00,5.3,true
TT00238,TR0039,2025-08-04 20:00:00,2.4,true
TT00239,TR0040,2025-09-14 00:00:00,6.2,true
TT00240,TR0040,2025-09-14 04:00:00,2.8,true
TT00241,TR0040,2025-09-14 08:00:00,5.6,true
TT00242,TR0040,2025-09-14 12:00:00,5.8,true
TT00243,TR0040,2025-09-14 16:00:00,2.8,true
TT00244,TR0041,2025-11-18 00:00:00,5.4,true
TT00245,TR0041,2025-11-18 04:00:00,4.2,true
TT00246,TR0041,2025-11-18 08:00:00,5.4,true
TT00247,TR0041,2025-11-18 12:00:00,2.2,true
TT00248,TR0041,2025-11-18 16:00:00,6.4,true
TT00249,TR0041,2025-11-18 20:00:00,5.5,true
TT00250,TR0041,2025-11-18 24:00:00,3.5,true
TT00251,TR0041,2025-11-18 28:00:00,6.6,true
TT00252,TR0042,2025-11-20 00:00:00,4.7,true
TT00253,TR0042,2025-11-20 04:00:00,3.3,true
TT00254,TR0042,2025-11-20 08:00:00,5.1,true
TT00255,TR0042,2025-11-20 12:00:00,4.5,true
TT00256,TR0042,2025-11-20 16:00:00,3.3,true
TT00257,TR0042,2025-11-20 20:00:00,2.4,true
TT00258,TR0042,2025-11-20 24:00:00,6.9,true
TT00259,TR0043,2025-11-16 00:00:00,6.2,true
TT00260,TR0043,2025-11-16 04:00:00,2.5,true
